City,Temperature (C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Weather Description,Timestamp
Kisumu,28.2,58,1015.0,5.305555555555556,Partly cloudy,2024-10-16 16:23:00
Nakuru,19.0,64,1014.0,3.3888888888888884,Patchy rain nearby,2024-10-16 16:23:45
